user_id,Класс,Регион,Задача 1,Задача 2,Задача 3,Задача 4,Задача 5,Сумма,Статус
442,7,Новосибирская,7,7,7,7,7,35,Победитель
469,7,Челябинская,7,7,7,7,7,35,Победитель
679,7,Новосибирская,7,7,7,7,7,35,Победитель
4605,7,Курганская,7,7,7,7,7,35,Победитель
14188,7,Омская,7,7,7,7,7,35,Победитель
14606,7,Свердловская,7,7,7,7,7,35,Победитель
22250,7,Новосибирская,7,7,7,7,7,35,Победитель
22552,7,Курганская,7,7,7,7,7,35,Победитель
29684,7,Новосибирская,7,7,7,7,7,35,Победитель
29848,7,Красноярский,7,7,7,7,7,35,Победитель
30646,7,Свердловская,7,7,7,7,7,35,Победитель
30815,7,Новосибирская,7,7,7,7,7,35,Победитель
32712,7,Новосибирская,7,6,7,7,7,34,Победитель
3854,7,Республика Казахстан,7,7,7,4,7,32,Победитель
11237,7,Новосибирская,7,7,7,7,4,32,Победитель
3205,7,Новосибирская,7,7,7,3,7,31,Победитель
3494,7,Новосибирская,7,7,7,3,7,31,Победитель
7724,7,Новосибирская,7,7,7,3,7,31,Победитель
10725,7,Кемеровская область - Кузбасс,7,7,7,3,7,31,Победитель
14616,7,Республика Казахстан,7,7,7,3,7,31,Победитель
28750,7,Тюменская,7,7,7,3,7,31,Победитель
29880,7,Свердловская,7,7,7,3,7,31,Победитель
31364,7,Курганская,7,7,7,3,7,31,Победитель
31567,7,Челябинская,7,7,7,3,7,31,Победитель
33003,7,Ханты-Мансийский Автономный округ - Югра,7,7,7,3,7,31,Победитель
1025,7,Новосибирская,7,6,7,3,7,30,Победитель
6404,7,Республика Казахстан,7,7,7,7,2,30,Победитель
29393,7,Новосибирская,7,7,7,7,2,30,Победитель
11248,7,Республика Казахстан,7,7,7,7,1,29,Призёр
29148,7,Алтайский,7,7,7,7,1,29,Призёр
2231,7,Новосибирская,7,7,7,7,0,28,Призёр
5855,7,Свердловская,7,7,7,7,0,28,Призёр
9240,7,Иркутская,7,7,7,7,0,28,Призёр
12563,7,Новосибирская,7,7,7,7,-,28,Призёр
16477,7,Омская,7,1,7,6,7,28,Призёр
