,Номер заявки,Балл,Результат на финале,Результат на отборе,Статус,Класс
0,№ 1002452,25,25,75,Призер,10
1,№ 1003029,85,85,75,Призер,10
2,№ 1003228,2,2,100,Победитель,11
3,№ 1003501,30,30,80,Призер,11
4,№ 1003641,45,45,90,Призер,11
5,№ 1003939,30,30,80,Призер,11
6,№ 1004096,60,60,100,Победитель,11
7,№ 1004168,30,30,90,Призер,11
8,№ 1004309,75,75,100,Победитель,11
9,№ 1004358,55,55,100,Победитель,11
10,№ 1004516,15,15,100,Победитель,11
11,№ 1004554,60,60,100,Победитель,11
12,№ 1004594,55,55,100,Победитель,11
13,№ 1004620,15,15,80,Призер,11
14,№ 1004706,90,90,80,Призер,9
15,№ 1004734,70,70,85,Призер,11
16,№ 1004768,80,80,100,Победитель,10
17,№ 1004844,35,35,75,Призер,10
18,№ 1004852,70,70,100,Победитель,11
19,№ 1004875,55,55,100,Победитель,11
20,№ 1005040,85,85,100,Победитель,11
21,№ 1005064,50,50,85,Призер,11
22,№ 1005267,40,40,90,Призер,11
23,№ 1005304,25,25,80,Призер,11
24,№ 1005343,45,45,100,Победитель,11
25,№ 1005347,2,2,85,Призер,10
26,№ 1005389,85,85,100,Победитель,11
27,№ 1005455,100,100,100,Победитель,10
28,№ 1005766,65,65,85,Призер,10
29,№ 1005990,35,35,85,Призер,11
30,№ 1006091,75,75,100,Победитель,11
31,№ 1006295,80,80,90,Призер,11
32,№ 1006407,50,50,85,Призер,10
33,№ 1006450,55,55,80,Призер,11
34,№ 1006615,15,15,100,Победитель,11
35,№ 1006720,15,15,90,Призер,11
36,№ 1006754,40,40,90,Призер,11
37,№ 1006775,40,40,100,Победитель,10
38,№ 1006792,55,55,85,Призер,11
39,№ 1006809,65,65,90,Призер,10
40,№ 1006949,60,60,90,Призер,11
41,№ 1007268,20,20,80,Призер,11
42,№ 1007327,35,35,100,Победитель,11
43,№ 1007395,25,25,80,Призер,11
44,№ 1007414,95,95,90,Призер,11
45,№ 1007442,15,15,100,Победитель,10
46,№ 1007623,75,75,100,Победитель,11
47,№ 1007658,70,70,85,Призер,11
48,№ 1007687,70,70,85,Призер,11
49,№ 1007766,35,35,85,Призер,10
50,№ 1007871,40,40,85,Призер,10
51,№ 1008279,10,10,80,Призер,11
52,№ 1008383,75,75,90,Призер,11
53,№ 1008430,25,25,85,Призер,9
54,№ 1008680,30,30,90,Призер,11
55,№ 1008890,70,70,90,Призер,11
56,№ 1009126,2,2,100,Победитель,11
57,№ 1009214,50,50,100,Победитель,11
58,№ 1009319,50,50,90,Призер,11
59,№ 1009395,80,80,85,Призер,11
60,№ 1009570,40,40,85,Призер,11
61,№ 1009616,90,90,100,Победитель,10
62,№ 1009671,50,50,90,Призер,11
63,№ 1009673,70,70,100,Победитель,11
