"id    Класс участия   Регион                 Площадка, этап 1                                    Задача 1   Задача 2   Задача 3   Задача 4   Задача 5   Сумма   Статус"
"665          7         Бурятия                ФГБОУ ВО ""БГУ""                                      7.00       7.00       7.00       7.00       7.00         35    Победитель"
"1025         7         Новосибирская          МБОУ ""Лицей № 200""                                  7.00       7.00       7.00       7.00       7.00         35    Победитель"
"1333         7         Томская                ТГПУ                                                7.00       7.00       7.00       7.00       7.00         35    Победитель"
"1563         7         Тюменская              ГАОУ ТО ""ФМШ""                                       7.00       7.00       7.00       7.00       7.00         35    Победитель"
"1900         7         Свердловская           МАОУ Политехническая гимназия                       7.00       7.00       7.00       7.00       7.00         35    Победитель"
"3022         7         Краснодарский          МУ ДО «Малая академия»                              7.00       7.00       7.00       7.00       7.00         35    Победитель"
"3089         7         Пензенская             Губернский лицей                                    7.00       7.00       7.00       7.00       7.00         35    Победитель"
"4605         7         Курганская             АНО ""ЦДМО""                                          7.00       7.00       7.00       7.00       7.00         35    Победитель"
"4740         7         Свердловская           МАОУ Политехническая гимназия                       7.00       7.00       7.00       7.00       7.00         35    Победитель"
"5646         7         Республика Казахстан   Филиал НАО ""РФМШ"" г. Нур-Султан                     7.00       7.00       7.00       7.00       7.00         35    Победитель"
"6669         7         Тюменская              ГАОУ ТО ""ФМШ""                                       7.00       7.00       7.00       7.00       7.00         35    Победитель"
"6792         7         Республика Казахстан   НАО РФМШ г.Алматы                                   7.00       7.00       7.00       7.00       7.00         35    Победитель"
"8031         7         Московская             МБОУСОШ6                                            7.00       7.00       7.00       7.00       7.00         35    Победитель"
"8242         7         Челябинская            МагГТУ                                              7.00       7.00       7.00       7.00       7.00         35    Победитель"
"8263         7         Новосибирская          НГУ                                                 7.00       7.00       7.00       7.00       7.00         35    Победитель"
"10732         7         Тюменская              ГАОУ ТО ""ФМШ""                                       7.00       7.00       7.00       7.00       7.00         35    Победитель"
